사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,행정동
6779320,2022040,3011011700,30110001,대전광역시 동구1,대전광역시 동구 홍도동(용전네거리 부근),7,7,0,7,0,0,127.431194281992,36.347197259547,"{""type"":""Polygon"",""coordinates"":[[[127.4320926,36.34719726],[127.43207534,36.3470561],[127.43202422,36.34692037],[127.4319412,36.34679528],[127.43182949,36.34668564],[127.43169336,36.34659566],[127.43153805,36.34652879],[127.43136953,36.34648762],[127.43119428,36.34647372],[127.43101903,36.34648762],[127.43085051,36.34652879],[127.4306952,36.34659566],[127.43055908,36.34668564],[127.43044736,36.34679528],[127.43036435,36.34692037],[127.43031323,36.3470561],[127.43029597,36.34719726],[127.43031323,36.34733841],[127.43036435,36.34747415],[127.43044736,36.34759924],[127.43055908,36.34770888],[127.4306952,36.34779886],[127.43085051,36.34786572],[127.43101903,36.34790689],[127.43119428,36.3479208],[127.43136953,36.34790689],[127.43153805,36.34786572],[127.43169336,36.34779886],[127.43182949,36.34770888],[127.4319412,36.34759924],[127.43202422,36.34747415],[127.43207534,36.34733841],[127.4320926,36.34719726]]]}",홍도동
6778910,2022040,3017010600,30170001,대전광역시 서구1,대전광역시 서구 탄방동(둔산화랑 부근),11,12,1,10,1,0,127.398873370711,36.348797053642,"{""type"":""Polygon"",""coordinates"":[[[127.39977169,36.34879705],[127.39975443,36.3486559],[127.39970331,36.34852017],[127.39962029,36.34839508],[127.39950858,36.34828544],[127.39937245,36.34819546],[127.39921714,36.3481286],[127.39904862,36.34808743],[127.39887337,36.34807353],[127.39869812,36.34808743],[127.3985296,36.3481286],[127.39837429,36.34819546],[127.39823817,36.34828544],[127.39812645,36.34839508],[127.39804344,36.34852017],[127.39799232,36.3486559],[127.39797506,36.34879705],[127.39799232,36.34893821],[127.39804344,36.34907393],[127.39812645,36.34919902],[127.39823817,36.34930866],[127.39837429,36.34939864],[127.3985296,36.3494655],[127.39869812,36.34950667],[127.39887337,36.34952057],[127.39904862,36.34950667],[127.39921714,36.3494655],[127.39937245,36.34939864],[127.39950858,36.34930866],[127.39962029,36.34919902],[127.39970331,36.34907393],[127.39975443,36.34893821],[127.39977169,36.34879705]]]}",탄방동
6779062,2022040,3017011200,30170002,대전광역시 서구2,대전광역시 서구 둔산동(서광공인중개사사무소 부근),10,11,0,10,1,0,127.376358638242,36.350398653576,"{""type"":""Polygon"",""coordinates"":[[[127.37725695,36.35039865],[127.37723969,36.3502575],[127.37718857,36.35012178],[127.37710556,36.34999669],[127.37699384,36.34988705],[127.37685772,36.34979707],[127.37670241,36.34973021],[127.37653389,36.34968904],[127.37635864,36.34967514],[127.37618339,36.34968904],[127.37601487,36.34973021],[127.37585956,36.34979707],[127.37572343,36.34988705],[127.37561172,36.34999669],[127.3755287,36.35012178],[127.37547758,36.3502575],[127.37546032,36.35039865],[127.37547758,36.3505398],[127.3755287,36.35067553],[127.37561172,36.35080061],[127.37572343,36.35091025],[127.37585956,36.35100023],[127.37601487,36.35106709],[127.37618339,36.35110826],[127.37635864,36.35112216],[127.37653389,36.35110826],[127.37670241,36.35106709],[127.37685772,36.35100023],[127.37699384,36.35091025],[127.37710556,36.35080061],[127.37718857,36.35067553],[127.37723969,36.3505398],[127.37725695,36.35039865]]]}",둔산2동
6778981,2022040,3017011300,30170003,대전광역시 서구3,대전광역시 서구 월평동(금강유역환경청 부근),7,10,0,8,1,1,127.377458146677,36.359956113185,"{""type"":""Polygon"",""coordinates"":[[[127.37835646,36.35995611],[127.3783392,36.35981498],[127.37828808,36.35967927],[127.37820507,36.3595542],[127.37809335,36.35944458],[127.37795722,36.35935461],[127.37780192,36.35928776],[127.3776334,36.35924659],[127.37745815,36.35923269],[127.37728289,36.35924659],[127.37711438,36.35928776],[127.37695907,36.35935461],[127.37682294,36.35944458],[127.37671122,36.3595542],[127.37662821,36.35967927],[127.37657709,36.35981498],[127.37655983,36.35995611],[127.37657709,36.36009725],[127.37662821,36.36023295],[127.37671122,36.36035802],[127.37682294,36.36046765],[127.37695907,36.36055761],[127.37711438,36.36062446],[127.37728289,36.36066563],[127.37745815,36.36067953],[127.3776334,36.36066563],[127.37780192,36.36062446],[127.37795722,36.36055761],[127.37809335,36.36046765],[127.37820507,36.36035802],[127.37828808,36.36023295],[127.3783392,36.36009725],[127.37835646,36.35995611]]]}",월평2동
6779356,2022040,3017010300,30170004,대전광역시 서구4,대전광역시 서구 도마동(유등교 부근),7,7,0,7,0,0,127.38421235202,36.315066010789,"{""type"":""Polygon"",""coordinates"":[[[127.38511067,36.31506601],[127.38509341,36.3149248],[127.38504229,36.31478901],[127.38495927,36.31466387],[127.38484756,36.31455418],[127.38471143,36.31446416],[127.38455612,36.31439727],[127.3843876,36.31435608],[127.38421235,36.31434217],[127.3840371,36.31435608],[127.38386858,36.31439727],[127.38371327,36.31446416],[127.38357715,36.31455418],[127.38346543,36.31466387],[127.38338242,36.31478901],[127.3833313,36.3149248],[127.38331404,36.31506601],[127.3833313,36.31520722],[127.38338242,36.31534301],[127.38346543,36.31546815],[127.38357715,36.31557784],[127.38371327,36.31566786],[127.38386858,36.31573475],[127.3840371,36.31577594],[127.38421235,36.31578985],[127.3843876,36.31577594],[127.38455612,36.31573475],[127.38471143,36.31566786],[127.38484756,36.31557784],[127.38495927,36.31546815],[127.38504229,36.31534301],[127.38509341,36.31520722],[127.38511067,36.31506601]]]}",도마1동
6779041,2022040,3020011100,30200001,대전광역시 유성구1,대전광역시 유성구 봉명동(유성시외버스터미널 부근),7,9,2,5,2,0,127.335780782358,36.355398403914,"{""type"":""Polygon"",""coordinates"":[[[127.3366791,36.3553984],[127.33666184,36.35525726],[127.33661072,36.35512155],[127.3365277,36.35499647],[127.33641599,36.35488684],[127.33627986,36.35479686],[127.33612455,36.35473001],[127.33595603,36.35468884],[127.33578078,36.35467494],[127.33560553,36.35468884],[127.33543701,36.35473001],[127.33528171,36.35479686],[127.33514558,36.35488684],[127.33503386,36.35499647],[127.33495085,36.35512155],[127.33489973,36.35525726],[127.33488247,36.3553984],[127.33489973,36.35553954],[127.33495085,36.35567526],[127.33503386,36.35580034],[127.33514558,36.35590997],[127.33528171,36.35599994],[127.33543701,36.35606679],[127.33560553,36.35610796],[127.33578078,36.35612186],[127.33595603,36.35610796],[127.33612455,36.35606679],[127.33627986,36.35599994],[127.33641599,36.35590997],[127.3365277,36.35580034],[127.33661072,36.35567526],[127.33666184,36.35553954],[127.3366791,36.3553984]]]}",온천1동
6779085,2022040,3020011700,30200002,대전광역시 유성구2,대전광역시 유성구 장대동(유성교 부근),7,7,1,6,0,0,127.33644461243,36.357743317801,"{""type"":""Polygon"",""coordinates"":[[[127.33734293,36.35774332],[127.33732567,36.35760218],[127.33727455,36.35746647],[127.33719153,36.35734139],[127.33707982,36.35723177],[127.33694369,36.3571418],[127.33678838,36.35707494],[127.33661987,36.35703377],[127.33644461,36.35701987],[127.33626936,36.35703377],[127.33610084,36.35707494],[127.33594554,36.3571418],[127.33580941,36.35723177],[127.33569769,36.35734139],[127.33561468,36.35746647],[127.33556356,36.35760218],[127.3355463,36.35774332],[127.33556356,36.35788445],[127.33561468,36.35802017],[127.33569769,36.35814524],[127.33580941,36.35825487],[127.33594554,36.35834483],[127.33610084,36.35841169],[127.33626936,36.35845286],[127.33644461,36.35846676],[127.33661987,36.35845286],[127.33678838,36.35841169],[127.33694369,36.35834483],[127.33707982,36.35825487],[127.33719153,36.35814524],[127.33727455,36.35802017],[127.33732567,36.35788445],[127.33734293,36.35774332]]]}",온천2동
6779302,2022040,3023011000,30230001,대전광역시 대덕구1,대전광역시 대덕구 비래동(예수사랑교회 부근),7,7,0,7,0,0,127.455038794306,36.355142173573,"{""type"":""Polygon"",""coordinates"":[[[127.45593711,36.35514217],[127.45591985,36.35500103],[127.45586873,36.35486531],[127.45578572,36.35474024],[127.455674,36.3546306],[127.45553787,36.35454063],[127.45538256,36.35447378],[127.45521405,36.35443261],[127.45503879,36.3544187],[127.45486354,36.35443261],[127.45469502,36.35447378],[127.45453972,36.35454063],[127.45440359,36.3546306],[127.45429187,36.35474024],[127.45420886,36.35486531],[127.45415774,36.35500103],[127.45414048,36.35514217],[127.45415774,36.35528331],[127.45420886,36.35541903],[127.45429187,36.35554411],[127.45440359,36.35565374],[127.45453972,36.35574371],[127.45469502,36.35581057],[127.45486354,36.35585173],[127.45503879,36.35586564],[127.45521405,36.35585173],[127.45538256,36.35581057],[127.45553787,36.35574371],[127.455674,36.35565374],[127.45578572,36.35554411],[127.45586873,36.35541903],[127.45591985,36.35528331],[127.45593711,36.35514217]]]}",비래동
